Date,"GME","AMC","NIO","TSLA","AAPL","NVDA","RBLX","AMZN","HOOD","PLTR","PYPL","TWTR","XOM","COP"
2022-07-05 08:00:00.001910-05:00,87,158,72,439,160,124,52,105,13,29,25,46,47,3
2022-07-05 09:00:00.000037-05:00,113,118,65,383,171,133,116,153,13,36,39,26,32,7
2022-07-05 10:00:00.002789-05:00,91,132,49,248,108,65,72,109,11,22,8,24,45,10
2022-07-05 11:00:00.003261-05:00,94,147,76,317,128,74,87,128,12,34,11,22,37,11
2022-07-05 12:00:00.000011-05:00,65,111,48,303,108,71,118,102,10,23,32,13,34,11
2022-07-05 13:00:00.000014-05:00,93,138,47,270,133,64,77,123,10,44,15,26,32,11
2022-07-05 14:00:00.000043-05:00,82,128,38,242,106,39,64,105,9,27,16,19,25,8
2022-07-05 15:00:00.000002-05:00,74,122,34,264,102,71,56,94,11,20,21,10,27,5
2022-07-05 16:00:00.000026-05:00,48,94,31,168,76,49,45,62,8,20,12,12,21,10
2022-07-05 17:00:00.000298-05:00,39,93,22,133,66,38,34,49,5,14,6,5,15,5
2022-07-05 18:00:00.000042-05:00,47,90,23,132,55,29,16,44,7,14,8,4,10,2
2022-07-05 19:00:00.000019-05:00,48,83,23,116,53,25,25,48,9,17,10,9,14,6
2022-07-05 20:00:00.001373-05:00,35,72,38,115,58,25,21,38,5,12,10,2,13,2
2022-07-05 21:00:00.000038-05:00,40,70,32,108,46,37,26,35,13,10,3,4,11,3
2022-07-05 22:00:00.000010-05:00,31,40,22,64,41,19,9,22,8,14,5,10,9,7
2022-07-05 23:00:00.000030-05:00,24,44,22,95,50,26,47,32,3,13,14,11,14,3
2022-07-06 00:00:00.000016-05:00,13,31,22,75,30,18,8,20,7,5,7,10,9,4
2022-07-06 01:00:00.000024-05:00,28,35,28,60,38,21,10,29,4,10,5,8,9,8
2022-07-06 02:00:00.000001-05:00,13,26,35,35,34,20,4,28,2,8,8,7,9,2
2022-07-06 03:00:00.020677-05:00,31,51,43,61,47,21,8,38,1,14,12,12,13,3
2022-07-06 04:00:00.020732-05:00,23,30,33,79,44,27,5,55,1,15,9,19,23,3
2022-07-06 05:00:00.013800-05:00,23,48,25,100,60,27,6,48,8,15,7,14,18,8
2022-07-06 06:00:00.014007-05:00,41,64,43,125,74,43,14,64,7,9,11,18,12,7
2022-07-06 07:00:00.013982-05:00,45,70,28,164,132,34,26,93,5,15,13,8,22,9
2022-07-06 08:00:00.017158-05:00,87,134,78,277,194,81,40,180,24,27,16,30,26,11
2022-07-06 09:00:00.000138-05:00,91,153,84,243,190,76,25,124,23,20,21,32,43,8
2022-07-06 10:00:00.000108-05:00,78,129,66,216,141,63,21,95,14,17,13,35,45,11
2022-07-06 11:00:00.014160-05:00,77,122,60,229,140,46,14,92,13,16,18,25,42,4
2022-07-06 12:00:00.000021-05:00,80,100,49,178,137,44,7,85,11,19,19,28,31,11
2022-07-06 13:00:00.013881-05:00,77,91,49,210,152,42,16,92,21,27,15,22,22,6
2022-07-06 14:00:00.009643-05:00,60,112,45,230,135,42,18,83,12,19,9,22,27,7
2022-07-06 15:00:00.014585-05:00,701,125,50,219,160,62,15,95,7,19,16,19,32,3
2022-07-06 16:00:00.013701-05:00,342,86,28,126,81,27,3,61,7,14,10,12,17,3
2022-07-06 17:00:00.004257-05:00,222,94,20,137,67,23,6,61,5,16,6,10,12,3
2022-07-06 18:00:00.014675-05:00,163,62,11,88,42,25,9,31,4,10,11,14,13,2
2022-07-06 19:00:00.014657-05:00,138,86,21,133,76,20,11,49,4,5,5,10,13,3
2022-07-06 20:00:00.000002-05:00,108,85,33,146,56,29,12,50,7,12,4,10,15,6
2022-07-06 21:00:00.005174-05:00,120,65,19,103,58,21,13,36,7,12,5,10,9,3
2022-07-06 22:00:00.002018-05:00,78,46,13,77,38,26,2,21,2,21,10,11,9,5
2022-07-06 23:00:00.000967-05:00,66,39,10,71,33,23,6,19,5,9,4,8,10,4
2022-07-07 00:00:00.001927-05:00,49,37,16,51,18,11,3,25,3,7,3,3,8,2
2022-07-07 01:00:00.005611-05:00,49,16,12,43,15,7,3,14,6,3,3,6,4,3
2022-07-07 02:00:00.000017-05:00,36,18,14,30,17,8,3,8,0,4,4,3,3,1
2022-07-07 03:00:00.000027-05:00,67,33,14,48,24,10,2,11,5,6,1,1,2,3
2022-07-07 04:00:00.000006-05:00,54,22,12,57,33,8,2,16,3,4,3,9,6,0
